Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Label,prob_alive,predicted_purchases_12m,avg_order_value,clv_12m,clv_tier
12373,311,1,324.6,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,324.6,132.97,Bronze
12374,25,1,622.93,4,1,3,413,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,622.93,255.17,Bronze
12375,11,2,377.5,5,2,2,522,New Customers,1,🟢 Promising Mid-Tier,0.9986,1.28,188.75,1695.66,Silver
12377,315,2,1548.12,1,2,4,124,Can't Lose Them,3,🟢 Promising Mid-Tier,0.9896,1.27,774.06,6574.89,Gold
12378,130,1,4008.62,2,1,5,215,Can't Lose Them,3,🟢 Promising Mid-Tier,1.0,0.41,4008.62,1642.04,Silver
12379,82,2,777.24,2,2,3,223,Need Attention,3,🟢 Promising Mid-Tier,0.9982,1.28,388.62,3380.78,Gold
12380,22,4,2427.81,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,606.95,12156.11,Platinum
12381,5,3,1474.81,5,3,4,534,Loyal Customers,1,🟢 Promising Mid-Tier,0.9996,2.16,491.6,7051.05,Gold
12383,185,5,1628.56,1,4,4,144,At Risk,3,🟢 Promising Mid-Tier,0.9977,3.9,325.71,8406.57,Gold
12384,29,2,425.27,4,2,2,422,New Customers,1,🟢 Promising Mid-Tier,0.9985,1.28,212.64,1897.04,Silver
12386,338,2,401.9,1,2,2,122,Hibernating,0,❄️  Inactive / Lost,0.9849,1.27,200.95,1773.9,Silver
12388,16,6,2780.66,4,5,5,455,Champions,2,🏆 High Value Active,0.9998,4.79,463.44,14606.83,Platinum
12390,80,1,504.84,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,504.84,206.8,Bronze
12391,22,1,460.89,4,1,2,412,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,460.89,188.79,Bronze
12393,72,4,1582.6,3,4,4,344,Loyal Customers,3,🟢 Promising Mid-Tier,0.9995,3.04,395.65,7950.91,Gold
12394,64,2,1080.48,3,2,4,324,Potential Loyalists,3,🟢 Promising Mid-Tier,0.9983,1.28,540.24,4660.31,Gold
12395,19,12,2682.63,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,10.04,223.55,14766.64,Platinum
12397,36,2,2214.9,3,2,5,325,Potential Loyalists,3,🟢 Promising Mid-Tier,0.9985,1.28,1107.45,9447.0,Gold
12398,46,1,1435.66,3,1,4,314,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,1435.66,588.09,Silver
12399,119,4,1033.65,2,4,4,244,At Risk,3,🟢 Promising Mid-Tier,0.9992,3.04,258.41,5219.48,Gold
12401,303,1,69.3,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,69.3,28.39,Bronze
12402,323,1,195.6,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,195.6,80.12,Bronze
12403,50,1,391.7,3,1,2,312,Promising,0,❄️  Inactive / Lost,1.0,0.41,391.7,160.45,Bronze
12405,149,1,1390.39,2,1,4,214,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,1390.39,569.54,Silver
12406,22,2,3415.3,4,2,5,425,New Customers,3,🟢 Promising Mid-Tier,0.9986,1.28,1707.65,14512.34,Platinum
12407,50,5,1507.12,3,4,4,344,Loyal Customers,3,🟢 Promising Mid-Tier,0.9997,3.91,301.42,7801.04,Gold
12408,33,5,2618.55,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9998,3.91,523.71,13497.08,Platinum
12409,79,3,11072.67,2,3,5,235,At Risk,3,🟢 Promising Mid-Tier,0.9993,2.16,3690.89,52362.83,Platinum
12410,309,2,533.33,1,2,3,123,Need Attention,0,❄️  Inactive / Lost,0.9904,1.27,266.67,2333.84,Silver
12412,75,3,1142.88,2,3,4,234,At Risk,3,🟢 Promising Mid-Tier,0.9994,2.16,380.96,5482.22,Gold
12413,67,3,686.1,3,3,3,333,Loyal Customers,3,🟢 Promising Mid-Tier,0.9994,2.16,228.7,3325.74,Gold
12414,217,3,442.41,1,3,2,132,Need Attention,0,❄️  Inactive / Lost,0.9976,2.16,147.47,2171.18,Silver
12415,24,20,124564.53,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,17.05,6228.23,694897.91,Platinum
12417,3,9,3226.1,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,7.42,358.46,17474.19,Platinum
12418,113,1,668.58,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,668.58,273.87,Bronze
12420,64,1,600.39,3,1,3,313,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,600.39,245.94,Bronze
12421,16,4,639.04,4,4,3,443,Loyal Customers,1,🟢 Promising Mid-Tier,0.9997,3.04,159.76,3259.3,Gold
12422,96,3,683.56,2,3,3,233,At Risk,3,🟢 Promising Mid-Tier,0.9992,2.16,227.85,3313.26,Gold
12423,1,8,1634.31,5,5,4,554,Champions,2,🏆 High Value Active,0.9999,6.54,204.29,8820.74,Gold
12424,163,2,1760.96,2,2,4,224,Can't Lose Them,3,🟢 Promising Mid-Tier,0.9973,1.28,880.48,7522.67,Gold
12425,78,1,777.2,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,777.2,318.36,Bronze
12426,195,1,510.73,1,1,3,113,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,510.73,209.21,Bronze
12427,22,3,699.8,4,3,3,433,Loyal Customers,1,🟢 Promising Mid-Tier,0.9995,2.16,233.27,3390.96,Gold
12428,26,8,6405.26,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,6.54,800.66,34351.17,Platinum
12429,9,4,3388.4,5,4,5,545,Champions,2,🏆 High Value Active,0.9997,3.04,847.1,16934.34,Platinum
12430,43,1,216.4,3,1,1,311,Promising,0,❄️  Inactive / Lost,1.0,0.41,216.4,88.64,Bronze
12431,36,15,6382.45,3,5,5,355,Loyal Customers,2,🏆 High Value Active,0.9998,12.67,425.5,35350.37,Platinum
12432,43,4,4359.32,3,4,5,345,Loyal Customers,3,🟢 Promising Mid-Tier,0.9997,3.04,1089.83,21761.64,Platinum
12433,1,7,13375.87,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,5.66,1910.84,70935.75,Platinum
12434,85,2,806.14,2,2,3,223,Need Attention,3,🟢 Promising Mid-Tier,0.9982,1.28,403.07,3502.58,Gold
12435,80,2,7829.89,2,2,5,225,Can't Lose Them,3,🟢 Promising Mid-Tier,0.9982,1.28,3914.94,33125.44,Platinum
12436,100,1,429.01,2,1,2,212,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,429.01,175.73,Bronze
12437,2,18,4447.41,5,5,5,555,Champions,2,🏆 High Value Active,1.0,15.3,247.08,24806.48,Platinum
12438,14,2,2466.85,4,2,5,425,New Customers,3,🟢 Promising Mid-Tier,0.9986,1.28,1233.42,10511.17,Platinum
12441,367,1,155.55,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,155.55,63.72,Bronze
12442,3,1,144.06,5,1,1,511,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,144.06,59.01,Bronze
12444,21,5,4085.46,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9998,3.91,817.09,21015.05,Platinum
12445,22,1,77.4,4,1,1,411,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,77.4,31.71,Bronze
12446,58,1,1002.31,3,1,4,314,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,1002.31,410.57,Bronze
12447,243,1,431.49,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,431.49,176.75,Bronze
12448,44,1,365.45,3,1,2,312,Promising,1,🟢 Promising Mid-Tier,1.0,0.41,365.45,149.7,Bronze
12449,22,4,3596.29,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,899.07,17967.82,Platinum
12450,156,2,197.88,2,2,1,221,Hibernating,0,❄️  Inactive / Lost,0.9974,1.28,98.94,936.61,Silver
12451,11,5,8995.52,5,4,5,545,Champions,2,🏆 High Value Active,0.9998,3.91,1799.1,46178.9,Platinum
12452,17,1,348.57,4,1,2,412,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,348.57,142.78,Bronze
12453,134,1,707.09,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,707.09,289.64,Bronze
12454,56,1,3528.34,3,1,5,315,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,3528.34,1445.31,Silver
12455,73,5,2339.86,2,4,5,245,At Risk,3,🟢 Promising Mid-Tier,0.9996,3.91,467.97,12067.07,Platinum
12456,44,3,2581.04,3,3,5,335,Loyal Customers,3,🟢 Promising Mid-Tier,0.9995,2.16,860.35,12273.76,Platinum
12457,66,6,2043.23,3,5,4,354,Loyal Customers,3,🟢 Promising Mid-Tier,0.9997,4.79,340.54,10751.54,Platinum
12458,71,2,787.4,3,2,3,323,Potential Loyalists,3,🟢 Promising Mid-Tier,0.9983,1.28,393.7,3423.92,Gold
12461,155,1,626.88,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,626.88,256.79,Bronze
12462,19,2,937.59,4,2,4,424,New Customers,1,🟢 Promising Mid-Tier,0.9986,1.28,468.8,4058.7,Gold
12463,53,4,1200.78,3,4,4,344,Loyal Customers,3,🟢 Promising Mid-Tier,0.9996,3.04,300.2,6052.63,Gold
12464,10,8,957.05,5,5,4,554,Champions,2,🏆 High Value Active,0.9999,6.54,119.63,5196.23,Gold
12465,17,2,682.19,4,2,3,423,New Customers,1,🟢 Promising Mid-Tier,0.9986,1.28,341.1,2981.16,Silver
12468,188,2,657.54,1,2,3,123,Need Attention,0,❄️  Inactive / Lost,0.9968,1.28,328.77,2872.02,Silver
12471,2,27,17424.05,5,5,5,555,Champions,2,🏆 High Value Active,1.0,23.18,645.34,97952.72,Platinum
12472,32,7,6068.11,4,5,5,455,Champions,2,🏆 High Value Active,0.9998,5.66,866.87,32219.71,Platinum
12473,54,3,2596.23,3,3,5,335,Loyal Customers,3,🟢 Promising Mid-Tier,0.9994,2.16,865.41,12345.03,Platinum
12474,17,18,6745.79,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,15.3,374.77,37587.86,Platinum
12475,54,1,669.38,3,1,3,313,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,669.38,274.2,Bronze
12476,16,11,5898.42,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,9.17,536.22,32246.21,Platinum
12477,23,6,13219.74,4,5,5,455,Champions,2,🏆 High Value Active,0.9998,4.79,2203.29,69155.36,Platinum
12478,4,1,545.99,5,1,3,513,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,545.99,223.65,Bronze
12479,11,1,473.2,5,1,2,512,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,473.2,193.84,Bronze
12480,28,4,2885.63,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,721.41,14432.96,Platinum
12481,23,10,5020.32,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,8.29,502.03,27318.48,Platinum
12483,17,8,1910.98,4,5,4,454,Champions,2,🏆 High Value Active,0.9999,6.54,238.87,10301.05,Platinum
12484,35,4,3953.72,3,4,5,345,Loyal Customers,3,🟢 Promising Mid-Tier,0.9997,3.04,988.43,19744.89,Platinum
12488,10,3,1244.66,5,3,4,534,Loyal Customers,1,🟢 Promising Mid-Tier,0.9996,2.16,414.89,5964.11,Gold
12489,336,1,298.93,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,298.93,122.45,Bronze
12490,5,10,4859.93,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,8.29,485.99,26449.11,Platinum
12491,39,1,424.4,3,1,2,312,Promising,1,🟢 Promising Mid-Tier,1.0,0.41,424.4,173.85,Bronze
12492,63,2,227.21,3,2,1,321,Potential Loyalists,0,❄️  Inactive / Lost,0.9983,1.28,113.6,1061.21,Silver
12493,166,2,415.74,2,2,2,222,Hibernating,0,❄️  Inactive / Lost,0.9972,1.28,207.87,1854.39,Silver
12494,16,7,1084.1,4,5,4,454,Champions,3,🟢 Promising Mid-Tier,0.9999,5.66,154.87,5818.33,Gold
12497,82,1,953.1,2,1,4,214,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,953.1,390.42,Bronze
12498,21,3,349.7,4,3,2,432,Need Attention,1,🟢 Promising Mid-Tier,0.9995,2.16,116.57,1737.71,Silver
12500,23,11,4059.82,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,9.17,369.07,22217.11,Platinum
12501,337,1,2025.39,1,1,4,114,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,2025.39,829.66,Silver
12502,96,5,2995.87,2,4,5,245,At Risk,3,🟢 Promising Mid-Tier,0.9995,3.91,599.17,15426.14,Platinum
12504,18,2,428.05,4,2,2,422,New Customers,1,🟢 Promising Mid-Tier,0.9986,1.28,214.02,1908.88,Silver
12506,233,1,73.5,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,73.5,30.11,Bronze
12507,134,3,1052.81,2,3,4,234,At Risk,3,🟢 Promising Mid-Tier,0.999,2.16,350.94,5055.01,Gold
12508,26,2,398.27,4,2,2,422,New Customers,1,🟢 Promising Mid-Tier,0.9985,1.28,199.14,1783.16,Silver
12509,284,1,158.5,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,158.5,64.93,Bronze
12510,143,2,814.57,2,2,3,223,Need Attention,0,❄️  Inactive / Lost,0.9975,1.28,407.28,3536.0,Gold
12512,66,2,138.03,3,2,1,321,Potential Loyalists,0,❄️  Inactive / Lost,0.9983,1.28,69.02,685.03,Silver
12513,113,1,558.29,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,558.29,228.69,Bronze
12514,267,1,1017.68,1,1,4,114,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,1017.68,416.87,Bronze
12515,353,1,278.7,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,278.7,114.16,Bronze
12516,78,2,1186.06,2,2,4,224,Can't Lose Them,3,🟢 Promising Mid-Tier,0.9982,1.28,593.03,5105.11,Gold
12517,28,4,2322.84,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,580.71,11633.84,Platinum
12518,1,5,1840.89,5,4,4,544,Champions,2,🏆 High Value Active,0.9998,3.91,368.18,9512.58,Gold
12519,64,1,286.84,3,1,2,312,Promising,0,❄️  Inactive / Lost,1.0,0.41,286.84,117.5,Bronze
12520,79,5,2346.26,2,4,5,245,At Risk,3,🟢 Promising Mid-Tier,0.9996,3.91,469.25,12099.47,Platinum
12521,143,1,545.68,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,545.68,223.53,Bronze
12522,39,2,156.72,3,2,1,321,Potential Loyalists,1,🟢 Promising Mid-Tier,0.9985,1.28,78.36,764.0,Silver
12523,19,11,1699.77,4,5,4,454,Champions,2,🏆 High Value Active,0.9999,9.17,154.52,9344.5,Gold
12524,9,8,3945.72,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,6.54,493.22,21190.2,Platinum
12526,1,3,1172.66,5,3,4,534,Loyal Customers,1,🟢 Promising Mid-Tier,0.9996,2.16,390.89,5624.22,Gold
12527,82,3,330.71,2,3,2,232,Need Attention,0,❄️  Inactive / Lost,0.9993,2.16,110.24,1647.65,Silver
12528,9,6,1645.48,5,5,4,554,Champions,2,🏆 High Value Active,0.9999,4.79,274.25,8675.05,Gold
12530,60,4,1500.28,3,4,4,344,Loyal Customers,3,🟢 Promising Mid-Tier,0.9996,3.04,375.07,7541.93,Gold
12531,15,1,125.22,4,1,1,411,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,125.22,51.29,Bronze
12532,30,1,313.83,4,1,2,412,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,313.83,128.55,Bronze
12534,131,1,981.18,2,1,4,214,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,981.18,401.92,Bronze
12535,92,2,716.35,2,2,3,223,Need Attention,3,🟢 Promising Mid-Tier,0.9981,1.28,358.18,3123.72,Gold
12536,59,1,4279.71,3,1,5,315,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,4279.71,1753.09,Silver
12538,29,1,363.95,4,1,2,412,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,363.95,149.08,Bronze
12539,22,4,5568.35,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,1392.09,27776.32,Platinum
12540,20,17,11580.24,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,14.42,681.19,64359.28,Platinum
12541,30,3,841.18,4,3,3,433,Loyal Customers,3,🟢 Promising Mid-Tier,0.9995,2.16,280.39,4058.49,Gold
12544,36,1,316.7,3,1,2,312,Promising,1,🟢 Promising Mid-Tier,1.0,0.41,316.7,129.73,Bronze
12545,75,2,832.39,2,2,3,223,Need Attention,3,🟢 Promising Mid-Tier,0.9982,1.28,416.2,3613.57,Gold
12546,47,2,1021.5,3,2,4,324,Potential Loyalists,3,🟢 Promising Mid-Tier,0.9984,1.28,510.75,4412.03,Gold
12547,198,2,151.8,1,2,1,121,Hibernating,0,❄️  Inactive / Lost,0.9966,1.28,75.9,741.85,Silver
12548,166,1,67.2,2,1,1,211,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,67.2,27.53,Bronze
12550,79,1,824.83,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,824.83,337.87,Bronze
12551,358,1,168.0,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,168.0,68.82,Bronze
12552,40,1,317.82,3,1,2,312,Promising,1,🟢 Promising Mid-Tier,1.0,0.41,317.82,130.19,Bronze
12553,8,10,3278.28,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,8.29,327.83,17865.15,Platinum
12556,50,2,603.71,3,2,3,323,Potential Loyalists,1,🟢 Promising Mid-Tier,0.9984,1.28,301.86,2649.53,Silver
12557,16,5,11990.96,4,4,5,445,Champions,2,🏆 High Value Active,0.9998,3.91,2398.19,61529.46,Platinum
12558,8,1,269.96,5,1,2,512,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,269.96,110.58,Bronze
12559,311,2,525.71,1,2,3,123,Need Attention,0,❄️  Inactive / Lost,0.9902,1.27,262.86,2301.34,Silver
12560,5,2,1918.01,5,2,4,524,New Customers,1,🟢 Promising Mid-Tier,0.9987,1.28,959.0,8195.83,Gold
12561,303,1,238.85,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,238.85,97.84,Bronze
12562,8,7,3385.74,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,5.66,483.68,18011.51,Platinum
12564,261,1,402.9,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,402.9,165.04,Bronze
12565,289,1,145.92,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,145.92,59.77,Bronze
12566,86,1,297.65,2,1,2,212,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,297.65,121.93,Bronze
12567,23,10,8609.28,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,8.29,860.93,46795.55,Platinum
12569,2,32,3152.69,5,5,5,555,Champions,2,🏆 High Value Active,1.0,27.56,98.52,17836.7,Platinum
12571,40,2,519.61,3,2,3,323,Potential Loyalists,1,🟢 Promising Mid-Tier,0.9985,1.28,259.8,2294.91,Silver
12572,9,2,912.42,5,2,3,523,New Customers,1,🟢 Promising Mid-Tier,0.9986,1.28,456.21,3952.71,Gold
12573,227,1,160.54,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,160.54,65.76,Bronze
12574,316,1,182.45,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,182.45,74.74,Bronze
12576,36,5,1315.83,3,4,4,344,Loyal Customers,3,🟢 Promising Mid-Tier,0.9998,3.91,263.17,6821.12,Gold
12577,35,3,653.85,3,3,3,333,Loyal Customers,3,🟢 Promising Mid-Tier,0.9995,2.16,217.95,3173.85,Gold
12578,21,2,2402.51,4,2,5,425,New Customers,3,🟢 Promising Mid-Tier,0.9986,1.28,1201.26,10239.33,Platinum
12579,78,1,386.42,2,1,2,212,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,386.42,158.29,Bronze
12580,247,1,379.7,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,379.7,155.54,Bronze
12581,40,1,179.71,3,1,1,311,Promising,0,❄️  Inactive / Lost,1.0,0.41,179.71,73.61,Bronze
12582,239,2,351.36,1,2,2,122,Hibernating,0,❄️  Inactive / Lost,0.9954,1.28,175.68,1580.23,Silver
12583,3,15,6705.38,5,5,5,555,Champions,2,🏆 High Value Active,1.0,12.67,447.03,37139.4,Platinum
12584,4,9,2254.15,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,7.42,250.46,12231.88,Platinum
12585,234,2,1824.1,1,2,4,124,Can't Lose Them,3,🟢 Promising Mid-Tier,0.9956,1.28,912.05,7775.52,Gold
12586,17,1,196.94,4,1,1,411,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,196.94,80.67,Bronze
12587,8,1,104.0,5,1,1,511,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,104.0,42.6,Bronze
12588,39,1,174.9,3,1,1,311,Promising,0,❄️  Inactive / Lost,1.0,0.41,174.9,71.64,Bronze
12589,29,2,574.68,4,2,3,423,New Customers,1,🟢 Promising Mid-Tier,0.9985,1.28,287.34,2527.39,Silver
12590,211,1,9341.26,1,1,5,115,Can't Lose Them,3,🟢 Promising Mid-Tier,1.0,0.41,9341.26,3826.44,Gold
12591,317,1,368.85,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,368.85,151.09,Bronze
12592,92,2,401.6,2,2,2,222,Hibernating,0,❄️  Inactive / Lost,0.9981,1.28,200.8,1796.39,Silver
12593,109,3,382.1,2,3,2,232,Need Attention,0,❄️  Inactive / Lost,0.9992,2.16,127.37,1889.98,Silver
12594,38,9,3208.22,3,5,5,355,Loyal Customers,2,🏆 High Value Active,0.9998,7.42,356.47,17376.18,Platinum
12596,51,2,450.27,3,2,2,322,Potential Loyalists,1,🟢 Promising Mid-Tier,0.9984,1.28,225.14,2002.25,Silver
12597,19,4,3195.22,4,4,5,445,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,798.8,15973.12,Platinum
12598,10,7,2807.08,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,5.66,401.01,14945.97,Platinum
12599,29,7,888.58,4,5,3,453,Loyal Customers,3,🟢 Promising Mid-Tier,0.9998,5.66,126.94,4782.42,Gold
12600,29,10,2311.04,4,5,5,455,Champions,2,🏆 High Value Active,0.9999,8.29,231.1,12615.15,Platinum
12601,190,5,487.06,1,4,3,143,At Risk,3,🟢 Promising Mid-Tier,0.9975,3.9,97.41,2568.2,Silver
12602,59,1,153.12,3,1,1,311,Promising,0,❄️  Inactive / Lost,1.0,0.41,153.12,62.72,Bronze
12603,22,1,613.2,4,1,3,413,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,613.2,251.18,Bronze
12604,79,2,236.18,2,2,1,221,Hibernating,0,❄️  Inactive / Lost,0.9982,1.28,118.09,1098.92,Silver
12607,60,1,1579.51,3,1,4,314,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,1579.51,647.01,Silver
12609,78,3,964.85,2,3,4,234,At Risk,3,🟢 Promising Mid-Tier,0.9993,2.16,321.62,4641.62,Gold
12610,23,4,1747.54,4,4,4,444,Champions,3,🟢 Promising Mid-Tier,0.9997,3.04,436.88,8772.61,Gold
12611,52,1,1193.32,3,1,4,314,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,1193.32,488.82,Bronze
12612,74,1,668.04,2,1,3,213,Need Attention,0,❄️  Inactive / Lost,1.0,0.41,668.04,273.65,Bronze
12613,57,4,3092.38,3,4,5,345,Loyal Customers,3,🟢 Promising Mid-Tier,0.9996,3.04,773.1,15459.84,Platinum
12614,278,1,315.6,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,315.6,129.28,Bronze
12615,2,4,2093.19,5,4,5,545,Champions,2,🏆 High Value Active,0.9998,3.04,523.3,10492.27,Platinum
12616,95,2,641.3,2,2,3,223,Need Attention,0,❄️  Inactive / Lost,0.9981,1.28,320.65,2807.15,Silver
